----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
| Variable Name        | Feature Type  | Data Type   | Count      |   Miss % | Cardinalty |          Min |          Q25 |         Mean |       Median |          Q75 |          Max |      Std Dev |         Mode |    Mode Freq |   Mode Perc. |        Mode2 |   Mode2 Freq |  Mode2 Perc. |
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
| Id                   | CATEGORICAL   | ORDINAL     | 999        |   0.0000 |        999 |       1.0000 |     250.0000 |     500.0000 |     500.0000 |     749.0000 |     999.0000 |     288.5308 |     672.0000 |            1 |       0.1001 |     657.0000 |            1 |       0.1001 |
| LotFrontage          | CONTINUOUS    | NUMERIC     | 826        |  17.3173 |        103 |       0.0000 |      60.0000 |      69.9625 |      70.0000 |      80.0000 |     313.0000 |      21.1079 |      60.0000 |           90 |       9.0090 |      70.0000 |           49 |       4.9049 |
| LotArea              | CONTINUOUS    | NUMERIC     | 999        |   0.0000 |        780 |    1300.0000 |    7588.0000 |   10695.1091 |    9452.0000 |   11625.0000 |  215245.0000 |   11417.7065 |    7200.0000 |           17 |       1.7017 |    9600.0000 |           16 |       1.6016 |
| Street               | CATEGORICAL   | BINARY      | 999        |   0.0000 |          2 |            - |            - |            - |            - |            - |            - |            - |         Pave |          995 |      99.5996 |         Grvl |            4 |       0.4004 |
| Neighborhood         | CATEGORICAL   | TEXTUAL     | 999        |   0.0000 |         25 |            - |            - |            - |            - |            - |            - |            - |        NAmes |          152 |      15.2152 |      CollgCr |          100 |      10.0100 |
| YearBuilt            | CONTINUOUS    | INTERVAL    | 999        |   0.0000 |        107 |    1880.0000 |    1954.0000 |    1971.5986 |    1974.0000 |    2000.0000 |    2010.0000 |      30.0032 |    2006.0000 |           42 |       4.2042 |    2005.0000 |           39 |       3.9039 |
| YearRemodAdd         | CONTINUOUS    | INTERVAL    | 999        |   0.0000 |         61 |    1950.0000 |    1967.0000 |    1985.2583 |    1994.0000 |    2004.0000 |    2010.0000 |      20.4120 |    1950.0000 |          109 |      10.9109 |    2006.0000 |           62 |       6.2062 |
| CentralAir           | CATEGORICAL   | BINARY      | 999        |   0.0000 |          2 |            - |            - |            - |            - |            - |            - |            - |            Y |          931 |      93.1932 |            N |           68 |       6.8068 |
| PavedDrive           | CATEGORICAL   | CATEGORICAL | 999        |   0.0000 |          3 |            - |            - |            - |            - |            - |            - |            - |            Y |          917 |      91.7918 |            N |           61 |       6.1061 |
| SaleCondition        | CATEGORICAL   | CATEGORICAL | 999        |   0.0000 |          6 |            - |            - |            - |            - |            - |            - |            - |       Normal |          812 |      81.2813 |      Partial |           91 |       9.1091 |
| SalePrice            | CONTINUOUS    | NUMERIC     | 999        |   0.0000 |        536 |   34900.0000 |  130000.0000 |  182260.7117 |  163990.0000 |  215000.0000 |  755000.0000 |   80327.9199 |  140000.0000 |           14 |       1.4014 |  110000.0000 |           12 |       1.2012 |
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
